Extraction Date,Extraction Hour,Publication Date,Publication Hour,Title,Author,Location,Num Comments,Photo Author,Photo Text,Sectiom,Subsection
11-04-2019,7,11-04-2019,6,El Amrica se erige como campen indiscutible en Mxico al ganar la Copa MX,D. Mancera,Mxico,NA,Getty,Aguilera y lvarez celebran un gol con Amrica.,Destacados,
11-04-2019,7,11-04-2019,0,El voto israel,NA,NA,NA,NA,NA,opinin,opinin
11-04-2019,7,11-04-2019,3,La 4T contra la maldita realidad,Jorge Zepeda Patterson,NA,3,NA,NA,opinin,opinin
11-04-2019,7,11-04-2019,1,Fuerza en vez de luz,Llus Bassets,NA,NA,NA,NA,opinin,opinin
11-04-2019,7,11-04-2019,3,No es broma (Carretera Panamericana),Ricardo Silva Romero,NA,NA,NA,NA,opinin,opinin
11-04-2019,7,10-04-2019,1,Despierta,Leila Guerriero,NA,NA,NA,NA,opinin,opinin
11-04-2019,7,11-04-2019,1,Pence llama a la ONU a reconocer a Guaid como presidente de Venezuela,Sandro Pozzi,Nueva York,99,AP,Pence en el Consejo de Seguridad.,AMRICAS,AMRICAS
11-04-2019,7,10-04-2019,23,Cultura Colectiva: el escndalo detrs de 540 millones de me gusta,Elas Camhaji,Mxico,4,Hctor Guerrero,Un joven utiliza Twitter.,AMRICAS,AMRICAS
11-04-2019,7,11-04-2019,5,Trump carga contra la cpula de seguridad que lleva su poltica migratoria,Antonia Laborde,Washington,46,NA,NA,AMRICAS,AMRICAS
11-04-2019,7,10-04-2019,23,Los indgenas rechazan una reunin con Duque a puerta cerrada y tensan el dilogo,F. MANETTO,Bogot,12,NA,NA,AMRICAS,AMRICAS
11-04-2019,7,11-04-2019,2,WikiLeaks denuncia que un grupo de espaoles espi a Assange,Jos M. Abad Lin,Madrid,42,NA,NA,AMRICAS,AMRICAS
11-04-2019,7,11-04-2019,0,Netanyahu se dispone a formar un Gobierno an ms conservador en su quinto mandato,Juan Carlos Sanz,Jerusaln,39,AFP,Benjamn Netanyahu y su esposa en Tel Aviv.,INTERNACIONAL,INTERNACIONAL
11-04-2019,7,10-04-2019,23,Orbn desafa a la UE con un plan para preservar la cultura cristiana en Europa,Mara Hervs,Madrid,24,NA,NA,INTERNACIONAL,INTERNACIONAL
11-04-2019,7,11-04-2019,3,Omar al Bashir un dictador acorralado,Jos Naranjo,NA,4,NA,NA,INTERNACIONAL,INTERNACIONAL
11-04-2019,7,11-04-2019,0,La gente hambrienta se come lo que sea,ngeles Lucas,Addis Abeba,4,NA,NA,INTERNACIONAL,INTERNACIONAL
11-04-2019,7,05-04-2019,5,La nueva campaa de EL PAS: Y t qu piensas?,NA,NA,NA,CARLOS ROSILLO,Campaa de EL PAS: Y tu qu piensas?,Y t qu piensas?,UN ESPACIO COMN PARA COMPRENDER EL MUNDO
11-04-2019,7,10-04-2019,15,El FMI advierte sobre la acumulacin de vulnerabilidades financieras,Sandro Pozzi,Nueva York,2,AP,El consejero delegado de Dow se fotografa en Wall Street.,El Pas Economa,El Pas Economa
11-04-2019,7,10-04-2019,23,Google Maps se convierte en una mquina de hacer dinero,Gerrit De Vynck (Bloomberg),NA,2,Getty,El logo de Google Maps sobre un telfono.,El Pas Economa,El Pas Economa
11-04-2019,7,11-04-2019,3,Panam ante su mayor reto: de polo financiero y comercial a polo de la innovacin,Ignacio Fariza,Ciudad de Panam,3,NA,NA,El Pas Economa,El Pas Economa
11-04-2019,7,10-04-2019,23,El Popular era viable cuando ampli capital pero ocult prdidas en sus cuentas,igo de Barrn,Madrid,20,NA,NA,El Pas Economa,El Pas Economa
11-04-2019,7,10-04-2019,15,Las maquinillas de afeitar rompen el mito de las tropecientas cuchillas,Jos ngel Plaza Lpez,NA,10,NA,NA,El Pas Economa,El Pas Economa
11-04-2019,7,10-04-2019,17,La filsofa Judith Butler a los hombres: Rompan el pacto de hermandad y denuncien los abusos,Mar Centenera,Buenos Aires,4,NA,Judith Butler este martes en Buenos Aires.,Sociedad,Sociedad
11-04-2019,7,11-04-2019,2,Estrasburgo da otro baln de oxgeno a los vientres de alquiler,Silvia Ayuso,Pars,14,NA,NA,Sociedad,Sociedad
11-04-2019,7,11-04-2019,1,Dos ONG denuncian los obstculos que Madrid pone a las inmigrantes para abortar,Pilar lvarez,Madrid,2,NA,NA,Sociedad,Sociedad
11-04-2019,7,11-04-2019,1,Alondra de la Parra la imparable atraccin de las batutas latinas,Jess Ruiz Mantilla,Madrid,NA,I. Flores,De la Parra en el Auditorio Nacional de Msica.,Cultura,Cultura
11-04-2019,7,11-04-2019,5,El Mies van der Rohe corona la arquitectura transformadora de Lacaton & Vassal,Anatxu Zabalbeascoa,Madrid,NA,NA,NA,Cultura,Cultura
11-04-2019,7,11-04-2019,0,Astrix y Oblix se enfrentarn a toda una crisis de adolescente,Silvia Ayuso,Pars,NA,NA,NA,Cultura,Cultura
11-04-2019,7,11-04-2019,5,Cuando el perro es la estrella de la serie,Irene Crespo,Cannes,NA,NA,NA,Cultura,Cultura
11-04-2019,7,11-04-2019,3,As han cambiado los personajes de Juego de tronos en ocho temporadas,Eneko Ruiz Jimnez,Madrid,2,NA,NA,Cultura,Cultura
11-04-2019,7,11-04-2019,3,Aprender de sexo leyendo novelas clsicas por Amos Oz,Amos Oz,NA,NA,NA,NA,Cultura,Cultura
11-04-2019,7,11-04-2019,1,El Barcelona saca ventaja frente al Manchester United en la Champions League (0-1),Ramon Besa,Mnchester,21,REUTERS,Surez marca el gol del Bara.,Deportes,Deportes
11-04-2019,7,11-04-2019,1,Cristiano saca a la Juventus del atolladero,Diego Torres,NA,4,NA,NA,Deportes,Deportes
11-04-2019,7,11-04-2019,1,El podio de la igualdad: las mujeres de espaldas,Carlos Arribas,Madrid,26,NA,NA,Deportes,Deportes
11-04-2019,7,11-04-2019,1,McIlroy quiere sentarse a la mesa de Tiger,Juan Morenilla,Augusta,1,NA,NA,Deportes,Deportes
11-04-2019,7,11-04-2019,3,Magic Johnson dimite como presidente de los Lakers tras una temporada desastrosa,Pablo Ximnez de Sandoval,Los ngeles,NA,NA,NA,Deportes,Deportes
11-04-2019,7,10-04-2019,21,El hijo de Ronaldinho escondi su identidad en una prueba,NA,NA,NA,NA,NA,Deportes,Deportes
11-04-2019,7,11-04-2019,4,Vetada La Caperucita Roja: una escuela de Barcelona retira 200 cuentos por sexistas,Ivanna Vallespn,Barcelona,168,NA,NA,ESPAA,ESPAA
11-04-2019,7,11-04-2019,0,Un juez decide que se investigue como violencia de gnero el suicidio asistido de la espaola Carrasco,Emilio de Benito,NA,1390,NA,NA,ESPAA,ESPAA
11-04-2019,7,11-04-2019,1,Un contraespionaje de todo a cien,Pablo Ordaz,Madrid,113,NA,NA,ESPAA,ESPAA
11-04-2019,7,10-04-2019,16,Esto cuesta contratar todos los servicios de series y pelculas en Mxico,Darinka Rodrguez,NA,NA,NA,NA,Verne,Verne
11-04-2019,7,10-04-2019,19,De dnde viene el trmino guiri? La palabra que naci en las guerras carlistas,Lola Pons Rodrguez,NA,39,NA,NA,Verne,Verne
11-04-2019,7,10-04-2019,16,Tazos hielocos y pepsilindros: as se recuerdan los 90 en Mxico,NA,NA,NA,NA,NA,Verne,Verne
